Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Tonga,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,3,1,2,2,2,2,2,1,1,1,1,1,25
Turkey,140,165,171,220,142,201,252,253,296,268,292,294,363,372,411,472,509,530,500,534,625,656,723,842,987,1249,1192,1474,1464,15597
United Arab Emirates,79,94,117,103,94,115,138,125,175,160,189,247,241,225,299,357,318,324,320,345,296,350,369,468,463,530,606,845,1118,9110
Vanuatu,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,1,1,2,2,1,2,2,1,2,4,6,31
Caribbean,48,58,39,45,62,45,52,45,145,217,178,121,157,130,148,155,99,92,152,197,203,153,216,203,243,237,223,164,169,3996
Anguilla,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,14
Antigua and Barbuda,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,2,2,3,3,2,2,3,2,4,4,38
Aruba,16,5,2,5,7,7,5,5,5,15,12,13,11,12,10,11,12,11,9,3,2,2,2,2,4,5,3,5,8,209
Bahamas,8,9,8,8,16,13,12,9,6,6,13,15,12,17,16,13,12,12,18,14,14,10,15,14,13,17,13,11,7,351
Barbados,4,3,3,3,4,5,7,6,9,7,7,8,10,9,11,5,5,4,5,5,5,4,5,5,5,6,5,5,7,167
Cayman Islands,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,1,2,2,2,2,3,3,4,13,12,50
Dominica,0,1,0,0,1,0,3,1,1,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,6,1,0,1,0,24
Grenada,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,21
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,7,8,7,9,10,8,4,7,15,15,4,4,4,3,3,6,10,7,8,9,6,5,5,7,6,6,6,6,6,201
Puerto Rico,9,26,14,15,20,7,16,11,99,168,134,72,113,79,100,114,55,52,105,158,164,122,177,166,199,191,185,115,122,2808
Saint Kitts and Nevis,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,8
Saint Lucia,2,3,2,2,2,2,2,3,3,2,2,3,1,2,3,2,2,2,2,1,2,1,3,2,2,2,2,3,1,61
Saint Vincent & the Grenadines,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,17
Virgin Islands (UK),0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,8
Central America & Mexico,9,9,10,10,10,14,16,19,15,12,18,14,19,2,3,3,6,4,3,4,5,7,8,12,18,22,19,21,28,340
Belize,5,5,5,5,6,10,10,15,11,7,13,9,11,1,2,1,3,2,2,2,2,2,4,6,9,14,14,16,23,215
Bermuda,4,5,5,4,4,4,7,4,4,5,5,5,8,1,1,2,3,1,1,2,3,4,4,6,10,8,5,5,5,125
